11.07.2017 21:24 офис_9 74708,15 1
21.06.2017 22:56 офис_9 71572,18 2
04.07.2017 06:07 офис_14 77308,28 3
09.09.2017 11:56 офис_10 50763,37 4
17.03.2017 02:02 офис_16 90261,11 5
28.01.2017 03:28 офис_8 56969,02 6
11.02.2017 02:08 офис_15 57738,03 7
01.04.2017 22:01 офис_12 76894,21 8
29.07.2017 13:13 офис_16 10156,98 9
30.03.2017 14:02 офис_9 21281,05 10
09.12.2017 05:51 офис_6 44486,53 11
15.10.2017 07:04 офис_3 68401,35 12
03.03.2017 04:11 офис_7 68277,18 13
01.11.2017 22:24 офис_15 34011,12 14
05.01.2017 12:27 офис_3 52750,92 15
19.12.2017 04:34 офис_17 25266,66 16
16.05.2017 09:57 офис_1 87245,99 17
12.09.2017 03:26 офис_7 88097,08 18
24.05.2017 18:15 офис_6 69023,61 19
26.09.2017 00:05 офис_12 74519,85 20
26.06.2017 01:19 офис_4 90042,24 21
23.09.2017 12:07 офис_6 80718,48 22
05.04.2017 07:35 офис_2 80364,38 23
13.07.2017 02:39 офис_7 30396,11 24
12.03.2017 21:43 офис_14 92978,47 25
11.08.2017 12:20 офис_19 24437,35 26
10.12.2017 22:03 офис_10 17949,19 27
03.01.2017 22:04 офис_10 74291,35 28
30.07.2017 13:17 офис_18 50212,22 29
23.09.2017 05:53 офис_3 54483,99 30
08.07.2017 01:22 офис_2 78966,62 31
21.06.2017 11:45 офис_1 27823,41 32
05.12.2017 00:14 офис_17 79488,49 33
10.08.2017 03:34 офис_6 83698,73 34
09.10.2017 14:02 офис_18 95108,22 35
07.09.2017 04:48 офис_2 27540,64 36
03.05.2017 07:13 офис_10 80379,40 37
24.09.2017 07:10 офис_10 99611,39 38
06.04.2017 16:29 офис_7 16207,42 39
20.08.2017 13:04 офис_6 71397,80 40
20.08.2017 01:12 офис_12 94866,19 41
21.05.2017 12:36 офис_6 68789,73 42
02.04.2017 10:12 офис_4 16217,13 43
06.09.2017 01:56 офис_13 98396,82 44
21.06.2017 19:50 офис_9 81616,65 45
07.02.2017 06:44 офис_20 79844,71 46
01.11.2017 16:02 офис_6 33605,51 47
21.10.2017 19:16 офис_8 83917,48 48
08.01.2017 03:17 офис_17 93400,26 49
08.03.2017 10:14 офис_4 28252,14 50
23.04.2017 00:45 офис_8 52483,91 51
17.06.2017 06:09 офис_16 18966,87 52
14.10.2017 10:42 офис_1 11546,41 53
08.03.2017 13:51 офис_17 70069,17 54
18.06.2017 20:43 офис_4 36267,14 55
03.05.2017 21:24 офис_7 34554,29 56
09.12.2017 06:18 офис_12 90872,04 57
27.03.2017 09:11 офис_2 99468,46 58
13.07.2017 10:13 офис_5 12380,09 59
26.10.2017 11:29 офис_6 58213,54 60
30.10.2017 19:22 офис_14 21685,66 61
16.05.2017 08:47 офис_19 27394,45 62
03.07.2017 04:36 офис_3 25175,86 63
26.03.2017 09:28 офис_15 66322,85 64
31.07.2017 03:37 офис_19 84692,38 65
07.02.2017 01:39 офис_16 26445,86 66
30.11.2017 19:04 офис_5 59752,79 67
03.02.2017 06:01 офис_12 13646,32 68
30.07.2017 04:00 офис_15 52698,83 69
23.04.2017 13:17 офис_18 22728,27 70
18.07.2017 06:47 офис_4 44141,10 71
09.07.2017 00:42 офис_17 26412,50 72
21.08.2017 02:47 офис_4 42008,76 73
03.09.2017 21:29 офис_15 45713,27 74
04.02.2017 11:20 офис_11 85427,42 75
26.06.2017 20:49 офис_4 34382,21 76
17.02.2017 17:23 офис_9 57763,65 77
13.11.2017 03:45 офис_9 84225,58 78
03.01.2017 06:43 офис_11 67622,83 79
12.01.2017 16:09 офис_11 35100,74 80
01.06.2017 22:38 офис_8 48576,77 81
01.04.2017 01:13 офис_16 81861,37 82
24.04.2017 20:02 офис_18 93604,59 83
15.05.2017 17:25 офис_10 37059,64 84
28.08.2017 20:50 офис_12 74588,44 85
21.11.2017 16:09 офис_13 85927,05 86
08.03.2017 10:09 офис_9 79756,83 87
12.12.2017 11:14 офис_9 21902,25 88
18.10.2017 13:29 офис_18 39320,80 89
16.07.2017 02:35 офис_14 22246,80 90
13.12.2017 08:48 офис_9 90231,33 91
28.12.2017 01:32 офис_3 24472,52 92
25.07.2017 04:53 офис_1 56427,70 93
14.08.2017 16:45 офис_9 68579,72 94
30.06.2017 01:31 офис_12 43760,48 95
10.03.2017 09:56 офис_6 61818,06 96
30.05.2017 14:56 офис_11 34661,14 97
29.05.2017 08:13 офис_2 44476,91 98
08.04.2017 11:55 офис_18 97180,05 99
17.11.2017 15:30 офис_15 34316,95 100
09.08.2017 19:43 офис_7 90932,93 101
13.01.2017 15:11 офис_10 88442,20 102
17.09.2017 14:40 офис_18 86424,81 103
07.07.2017 22:25 офис_11 52761,29 104
18.02.2017 22:35 офис_13 88498,14 105
04.10.2017 10:53 офис_3 20461,71 106
20.05.2017 17:50 офис_1 64881,16 107
07.08.2017 00:04 офис_4 46805,40 108
23.11.2017 02:06 офис_17 20484,14 109
20.02.2017 12:29 офис_13 25907,91 110
25.10.2017 15:16 офис_6 49342,08 111
01.07.2017 07:51 офис_13 38838,98 112
29.04.2017 20:28 офис_14 20191,70 113
24.04.2017 18:12 офис_2 79847,31 114
14.01.2017 10:03 офис_3 53441,27 115
10.11.2017 15:04 офис_6 85176,24 116
14.11.2017 07:52 офис_20 64109,64 117
06.11.2017 11:24 офис_10 55152,91 118
16.06.2017 15:45 офис_17 24414,12 119
12.06.2017 17:49 офис_3 73785,81 120
13.06.2017 06:18 офис_13 66441,06 121
07.08.2017 02:34 офис_12 55708,98 122
29.11.2017 21:16 офис_14 36627,91 123
03.01.2017 13:56 офис_7 59047,98 124
13.09.2017 00:27 офис_13 64482,57 125
29.06.2017 15:13 офис_2 16506,45 126
24.09.2017 06:42 офис_5 95419,08 127
10.12.2017 14:55 офис_1 95346,10 128
04.10.2017 14:35 офис_1 38716,46 129
08.02.2017 15:13 офис_4 30304,44 130
21.05.2017 19:14 офис_7 83779,37 131
02.08.2017 03:48 офис_7 60265,73 132
03.04.2017 11:22 офис_17 69163,51 133
28.07.2017 14:20 офис_2 44137,47 134
07.04.2017 16:53 офис_17 96728,05 135
19.08.2017 17:29 офис_5 42415,41 136
06.06.2017 07:16 офис_8 92103,25 137
02.09.2017 07:36 офис_5 81160,78 138
13.03.2017 15:30 офис_7 43201,10 139
02.12.2017 14:11 офис_18 18734,66 140
23.07.2017 18:07 офис_10 78768,37 141
18.10.2017 07:34 офис_16 25504,50 142
18.06.2017 20:49 офис_2 44330,07 143
17.11.2017 04:46 офис_18 30154,99 144
29.12.2017 06:04 офис_13 74124,42 145
06.10.2017 08:44 офис_12 31091,43 146
07.12.2017 10:19 офис_18 94195,32 147
31.08.2017 22:52 офис_20 30457,11 148
20.12.2017 11:25 офис_5 43525,22 149
24.12.2017 08:45 офис_16 42160,85 150
17.06.2017 22:38 офис_18 61802,80 151
11.11.2017 01:24 офис_3 18652,44 152
25.11.2017 14:32 офис_2 16033,65 153
01.10.2017 00:03 офис_5 14672,90 154
06.09.2017 02:44 офис_7 30651,81 155
13.03.2017 06:51 офис_20 40245,22 156
05.06.2017 10:00 офис_17 86857,51 157
06.08.2017 06:01 офис_7 60480,26 158
02.09.2017 03:32 офис_20 33009,54 159
07.04.2017 04:15 офис_4 67090,28 160
07.02.2017 21:31 офис_4 26629,24 161
11.12.2017 04:13 офис_20 26258,47 162
22.06.2017 04:30 офис_13 12648,35 163
30.04.2017 22:07 офис_10 59498,35 164
16.10.2017 02:37 офис_20 26051,18 165
16.02.2017 06:14 офис_4 15097,03 166
24.02.2017 04:51 офис_13 22163,82 167
21.11.2017 22:05 офис_7 97237,17 168
11.07.2017 08:56 офис_17 94996,13 169
10.09.2017 14:15 офис_5 36827,84 170
27.02.2017 15:41 офис_3 87293,13 171
29.08.2017 19:52 офис_9 98547,15 172
02.01.2017 20:19 офис_10 89235,03 173
30.01.2017 17:34 офис_13 47652,84 174
19.12.2017 15:55 офис_2 91231,26 175
05.03.2017 15:11 офис_14 33884,98 176
09.08.2017 10:09 офис_13 86961,99 177
31.08.2017 10:11 офис_13 70274,23 178
25.06.2017 19:22 офис_2 92783,63 179
10.12.2017 18:36 офис_2 15464,81 180
16.03.2017 08:36 офис_9 83045,82 181
26.07.2017 22:37 офис_19 65951,23 182
22.10.2017 19:06 офис_14 68339,34 183
30.09.2017 12:03 офис_7 78877,29 184
02.01.2017 13:12 офис_20 43307,64 185
31.10.2017 04:24 офис_2 49493,77 186
27.06.2017 17:07 офис_19 89872,08 187
18.10.2017 20:56 офис_13 77436,16 188
18.08.2017 13:56 офис_19 58951,21 189
